Log created: 2026-08-26 04:12:57
Type: backup
[2026-08-26 04:12:57][notice]Start backing up.
[2026-08-26 04:12:57][notice]server info fcgi:Off max execution time: 300 wp version:7.1 php version:8.3.30 db version:8.0.40 php ini:safe_mode: memory_limit:512M memory_get_usage:17,78 Mo memory_get_peak_usage:17,88 Mo extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2026-08-26 04:12:57][notice]Prepare to backup backup_db files.
[2026-08-26 04:12:58][notice]Start exporting database.
[2026-08-26 04:12:58][notice]Preparing to dump table wp_aiowps_debug_log
[2026-08-26 04:12:58][notice]Preparing to dump table wp_aiowps_events
[2026-08-26 04:12:58][notice]Preparing to dump table wp_aiowps_global_meta
[2026-08-26 04:12:58][notice]Preparing to dump table wp_aiowps_message_store
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_admin_notes
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_category_lookup
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wpforms_analytics_fields
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wpforms_analytics_forms
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wpforms_logs
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wpforms_tasks_meta
[2026-08-26 04:12:58][notice]Preparing to dump table wp_actionscheduler_claims
[2026-08-26 04:12:58][notice]Preparing to dump table wp_actionscheduler_groups
[2026-08-26 04:12:58][notice]Preparing to dump table wp_aiowps_permanent_block
[2026-08-26 04:12:58][notice]Preparing to dump table wp_links
[2026-08-26 04:12:58][notice]Preparing to dump table wp_term_relationships
[2026-08-26 04:12:58][notice]Preparing to dump table wp_tm_tasks
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_admin_note_actions
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_email_unsubscribes
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_product_download_directories
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_rate_limits
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_reserved_stock
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_tax_rate_classes
[2026-08-26 04:12:58][notice]Preparing to dump table wp_wc_webhooks
[2026-08-26 04:12:58][notice]Preparing to dump table wp_woocommerce_attribute_taxonomies
[2026-08-26 04:12:58][notice]Preparing to dump table wp_woocommerce_log
[2026-08-26 04:12:58][notice]Preparing to dump table wp_woocommerce_order_items
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_payment_tokens
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_shipping_zones
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wpforms_entries
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wpforms_entry_meta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_actionscheduler_logs
[2026-08-26 04:12:59][notice]Preparing to dump table wp_commentmeta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_term_taxonomy
[2026-08-26 04:12:59][notice]Preparing to dump table wp_termmeta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_terms
[2026-08-26 04:12:59][notice]Preparing to dump table wp_tm_taskmeta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_usermeta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wc_customer_lookup
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wc_download_log
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wc_order_coupon_lookup
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wc_order_operational_data
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wc_order_tax_lookup
[2026-08-26 04:12:59][notice]Preparing to dump table wp_wc_orders_meta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_api_keys
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_order_itemmeta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_payment_tokenmeta
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_sessions
[2026-08-26 04:12:59][notice]Preparing to dump table wp_woocommerce_shipping_zone_locations
